combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
170,0.6658940298950997,0.6621894686794247,0.3,0.001,8,100,50
171,0.6665775162699474,0.6620706050160466,0.3,0.001,8,100,100
172,0.734183233782057,0.6926185665042197,0.3,0.001,10,1,10
173,0.7388487712103652,0.7034351598716272,0.3,0.001,10,1,50
174,0.7410775311283468,0.7053369784856769,0.3,0.001,10,1,100
175,0.6930254672966628,0.6803756091762748,0.3,0.001,10,10,10
176,0.7026239933434371,0.6914299298704386,0.3,0.001,10,10,50
177,0.7048527532614187,0.6940449304647569,0.3,0.001,10,10,100
178,0.6533832575554961,0.6475692380839178,0.3,0.001,10,100,10
179,0.6660723306885382,0.6620706050160466,0.3,0.001,10,100,50
180,0.6667558170633859,0.6623083323428028,0.3,0.001,10,100,100
181,0.6573950254078631,0.654701057886604,0.3,0.01,3,1,10
182,0.6771566966806336,0.6745512896707476,0.3,0.01,3,1,50
183,0.6888651154497637,0.6858433376916676,0.3,0.01,3,1,100
184,0.6557308846691035,0.652323784619042,0.3,0.01,3,10,10
185,0.6757302903331253,0.6732437893735885,0.3,0.01,3,10,50
186,0.6870821075153785,0.6838226554142399,0.3,0.01,3,10,100
187,0.6434281299218448,0.6391299179840723,0.3,0.01,3,100,10
188,0.6649728091290006,0.661476286699156,0.3,0.01,3,100,50
189,0.6770972630828207,0.6730060620468323,0.3,0.01,3,100,100
190,0.6833972244509822,0.676096517294663,0.3,0.01,5,1,10
191,0.7031291789248462,0.6957090217520504,0.3,0.01,5,1,50
192,0.7183144631660278,0.7092594793771544,0.3,0.01,5,1,100
193,0.6787019702237675,0.6718174254130512,0.3,0.01,5,10,10
194,0.6983447743009124,0.6933317484844883,0.3,0.01,5,10,50
195,0.7124008201836498,0.705455842149055,0.3,0.01,5,10,100
196,0.6521945855992393,0.6457862831332462,0.3,0.01,5,100,10
197,0.673739264806395,0.6699156067990015,0.3,0.01,5,100,50
198,0.6856854179667766,0.6797812908593843,0.3,0.01,5,100,100
199,0.7146890136994443,0.6923808391774634,0.3,0.01,8,1,10
200,0.7330242786247065,0.7083085700701296,0.3,0.01,8,1,50
201,0.7490119164363614,0.7184119814572685,0.3,0.01,8,1,100
202,0.6945113072419838,0.6832283370973493,0.3,0.01,8,10,10
203,0.7141243945202222,0.7011767502674432,0.3,0.01,8,10,50
204,0.7263677156696681,0.711042434327826,0.3,0.01,8,10,100
205,0.6544530623161273,0.6484012837275644,0.3,0.01,8,100,10
206,0.6757005735342189,0.6708665161060264,0.3,0.01,8,100,50
207,0.6870226739175656,0.6807322001664091,0.3,0.01,8,100,100
208,0.7378978336453598,0.6936883394746226,0.3,0.01,10,1,10
209,0.7562628153695284,0.7104481160109355,0.3,0.01,10,1,50
210,0.7742117619090072,0.7210269820515869,0.3,0.01,10,1,100
211,0.6975424207304389,0.6840603827409961,0.3,0.01,10,10,10
212,0.7167691896228938,0.7027219778913586,0.3,0.01,10,10,50
213,0.7294285459570296,0.7123499346249852,0.3,0.01,10,10,100
214,0.6547502303051915,0.6486390110543206,0.3,0.01,10,100,10
215,0.675849157528751,0.6708665161060264,0.3,0.01,10,100,50
216,0.6872306915099106,0.6803756091762748,0.3,0.01,10,100,100
217,0.6820005349023803,0.6781171995720908,0.3,0.1,3,1,10
218,0.7465751389260349,0.738143349578034,0.3,0.1,3,1,50
219,0.7757867522510475,0.7666706287887792,0.3,0.1,3,1,100
220,0.6799797925767437,0.6771662902650659,0.3,0.1,3,10,10
221,0.745178449377433,0.7386188042315465,0.3,0.1,3,10,50
222,0.773706576327598,0.7669083561155354,0.3,0.1,3,10,100
223,0.6672610026447952,0.6619517413526685,0.3,0.1,3,100,10
224,0.7302903331253158,0.7228099370022584,0.3,0.1,3,100,50
225,0.7568274345487505,0.7518126708665162,0.3,0.1,3,100,100
226,0.7102017770645747,0.7016522049209557,0.3,0.1,5,1,10
227,0.7747169474904163,0.7559728990847497,0.3,0.1,5,1,50
228,0.7988767050013372,0.7719006299774159,0.3,0.1,5,1,100
229,0.70509048765267,0.6973731130393439,0.3,0.1,5,10,10
230,0.7687141541113192,0.7547842624509687,0.3,0.1,5,10,50
231,0.7895456301447208,0.7710685843337691,0.3,0.1,5,10,100
232,0.6760868919200024,0.6701533341257577,0.3,0.1,5,100,10
233,0.7420879022911652,0.7323190300725069,0.3,0.1,5,100,50
234,0.7658316246173962,0.7581124450255556,0.3,0.1,5,100,100
235,0.7445543966003982,0.7113990253179603,0.3,0.1,8,1,10
236,0.8234524976969481,0.7608463092832521,0.3,0.1,8,1,50
237,0.8648479985735936,0.7721383573041721,0.3,0.1,8,1,100
238,0.7207809574752607,0.7064067514560799,0.3,0.1,8,10,10
239,0.7832456687765594,0.7554974444312373,0.3,0.1,8,10,50
240,0.8053252503640308,0.7702365386901224,0.3,0.1,8,10,100
241,0.677751032658762,0.6712231070961607,0.3,0.1,8,100,10
242,0.7448515645894624,0.7339831213598003,0.3,0.1,8,100,50
243,0.768000950937565,0.7575181267086651,0.3,0.1,8,100,100
244,0.7714480996107099,0.7134197075953881,0.3,0.1,10,1,10
245,0.867195625687201,0.7600142636396053,0.3,0.1,10,1,50
246,0.919051439778907,0.7691667657197195,0.3,0.1,10,1,100
247,0.7242281061484057,0.7081897064067515,0.3,0.1,10,10,10
248,0.7885946925797153,0.756091762748128,0.3,0.1,10,10,50
249,0.8134676532643904,0.7708308570070129,0.3,0.1,10,10,100
250,0.6778996166532941,0.6712231070961607,0.3,0.1,10,100,10
251,0.7454161837686845,0.7332699393795317,0.3,0.1,10,100,50
252,0.7681792517310035,0.7568049447283965,0.3,0.1,10,100,100
253,0.7676146325517815,0.7589444906692024,0.3,1.0,3,1,10
254,0.8040771448099611,0.7790324497801022,0.3,1.0,3,1,50
255,0.8235713648925738,0.7752288125520028,0.3,1.0,3,1,100
256,0.7639000326884788,0.7571615357185308,0.3,1.0,3,10,10
257,0.7936168315949006,0.7736835849280875,0.3,1.0,3,10,50
258,0.8066030727170069,0.7770117675026744,0.3,1.0,3,10,100
259,0.7550147098154587,0.7469392606680137,0.3,1.0,3,100,10
260,0.7718641347953998,0.7663140377986449,0.3,1.0,3,100,50
261,0.7718641347953998,0.7663140377986449,0.3,1.0,3,100,100
262,0.7890998781611245,0.7650065375014858,0.3,1.0,5,1,10
263,0.8602121779441918,0.7699988113633662,0.3,1.0,5,1,50
264,0.9096312145255713,0.7667894924521573,0.3,1.0,5,1,100
265,0.779204184125286,0.7656008558183763,0.3,1.0,5,10,10
266,0.8237496656860123,0.7741590395815999,0.3,1.0,5,10,50
267,0.8483551751805296,0.7721383573041721,0.3,1.0,5,10,100
268,0.7587887432765742,0.7488410792820634,0.3,1.0,5,100,10
269,0.7745386466969778,0.7646499465113514,0.3,1.0,5,100,50
270,0.7745386466969778,0.7646499465113514,0.3,1.0,5,100,100
271,0.8489792279575644,0.758350172352312,0.3,1.0,8,1,10
272,0.9738195001634424,0.7547842624509687,0.3,1.0,8,1,50
273,0.9983655760601468,0.7553785807678592,0.3,1.0,8,1,100
274,0.795905025110695,0.7627481278973018,0.3,1.0,8,10,10
275,0.8671361920893881,0.7678592654225603,0.3,1.0,8,10,50
276,0.900805325250364,0.7620349459170331,0.3,1.0,8,10,100
277,0.7608689192000238,0.7480090336384168,0.3,1.0,8,100,10
278,0.7789664497340346,0.7639367645310828,0.3,1.0,8,100,50
279,0.7789664497340346,0.7639367645310828,0.3,1.0,8,100,100
280,0.8987251493269145,0.7510994888862474,0.3,1.0,10,1,10
281,0.9977415232831119,0.7582313086889338,0.3,1.0,10,1,50
282,0.9999702832010936,0.7568049447283965,0.3,1.0,10,1,100
283,0.8050280823749666,0.761916082253655,0.3,1.0,10,10,10
284,0.8837478826780779,0.7689290383929632,0.3,1.0,10,10,50
285,0.9192594573712519,0.766432901462023,0.3,1.0,10,10,100
286,0.761938723960655,0.7495542612623322,0.3,1.0,10,100,10
287,0.77751032658762,0.7621538095804112,0.3,1.0,10,100,50
288,0.77751032658762,0.7621538095804112,0.3,1.0,10,100,100
289,0.70509048765267,0.7029597052181148,0.5,0.001,3,1,10
290,0.7047636028646994,0.7005824319505527,0.5,0.001,3,1,50
291,0.7055956732340792,0.7014144775941995,0.5,0.001,3,1,100
292,0.7061008588154883,0.7030785688814929,0.5,0.001,3,10,10
293,0.7032777629193784,0.6998692499702841,0.5,0.001,3,10,50
294,0.704733886065793,0.7008201592773089,0.5,0.001,3,10,100
295,0.6975127039315325,0.6917865208605729,0.5,0.001,3,100,10
296,0.689162283438828,0.6838226554142399,0.5,0.001,3,100,50
297,0.6937089536715105,0.6881017472958516,0.5,0.001,3,100,100
298,0.7376006656562955,0.7276833472007608,0.5,0.001,5,1,10
299,0.7406020623458441,0.7320813027457507,0.5,0.001,5,1,50
300,0.740810079938189,0.7319624390823726,0.5,0.001,5,1,100
301,0.7345398353689341,0.7263758469036016,0.5,0.001,5,10,10
302,0.736441710498945,0.727921074527517,0.5,0.001,5,10,50
303,0.7361742593087872,0.7283965291810294,0.5,0.001,5,10,100
304,0.7078838667498737,0.704267205515274,0.5,0.001,5,100,10
305,0.7068140619892426,0.7027219778913586,0.5,0.001,5,100,50
306,0.7095777242875397,0.7043860691786521,0.5,0.001,5,100,100
307,0.7719830019910255,0.743729941756805,0.5,0.001,8,1,10
308,0.7780155121690292,0.750505170569357,0.5,0.001,8,1,50
309,0.7780452289679356,0.7497919885890884,0.5,0.001,8,1,100
310,0.7547472586253009,0.7382622132414121,0.5,0.001,8,10,10
311,0.7595910968470476,0.7417092594793772,0.5,0.001,8,10,50
312,0.7609877863956495,0.7447997147272079,0.5,0.001,8,10,100
313,0.7118064842055214,0.7083085700701296,0.5,0.001,8,100,10
314,0.7123711033847434,0.7060501604659456,0.5,0.001,8,100,50
315,0.715015898487415,0.7084274337335077,0.5,0.001,8,100,100
316,0.7984606698166473,0.7469392606680137,0.5,0.001,10,1,10
317,0.8062761879290363,0.755140853441103,0.5,0.001,10,1,50
318,0.8073459926896674,0.7546653987875906,0.5,0.001,10,1,100
319,0.7602151496240825,0.740520622845596,0.5,0.001,10,10,10
320,0.7664556773944311,0.7443242600736955,0.5,0.001,10,10,50
321,0.7678820837419393,0.744918578390586,0.5,0.001,10,10,100
322,0.7120145017978663,0.7079519790799953,0.5,0.001,10,100,10
323,0.712906005765059,0.7061690241293237,0.5,0.001,10,100,50
324,0.7156399512644498,0.7091406157137763,0.5,0.001,10,100,100
325,0.7078838667498737,0.7059312968025675,0.5,0.01,3,1,10
326,0.7111229978306737,0.7089028883870201,0.5,0.01,3,1,50
327,0.7203946390894773,0.717817663140378,0.5,0.01,3,1,100
328,0.7078541499509673,0.7049803874955426,0.5,0.01,3,10,10
329,0.7105286618525453,0.7075953880898609,0.5,0.01,3,10,50
330,0.7194437015244718,0.7179365268037561,0.5,0.01,3,10,100
331,0.6997117470506077,0.6944015214548912,0.5,0.01,3,100,10
332,0.6993551454637307,0.6930940211577321,0.5,0.01,3,100,50
333,0.7100531930700424,0.706525615119458,0.5,0.01,3,100,100
334,0.7392350895961487,0.7298228931415667,0.5,0.01,5,1,10
335,0.7466048557249413,0.7382622132414121,0.5,0.01,5,1,50
336,0.7531722682832606,0.7439676690835612,0.5,0.01,5,1,100
337,0.7365605776945707,0.7281588018542732,0.5,0.01,5,10,10
338,0.7439303438233633,0.7356472126470938,0.5,0.01,5,10,50
339,0.7499034204035542,0.7424224414596458,0.5,0.01,5,10,100
340,0.7115390330153636,0.7074765244264828,0.5,0.01,5,100,10
341,0.7179875783780572,0.7109235706644479,0.5,0.01,5,100,50
342,0.7262785652729488,0.7219778913586117,0.5,0.01,5,100,100
343,0.7736768595286916,0.7443242600736955,0.5,0.01,8,1,10
344,0.7862767822650144,0.7547842624509687,0.5,0.01,8,1,50
345,0.7942408843719354,0.759657672649471,0.5,0.01,8,1,100
346,0.7563519657662476,0.7402828955188399,0.5,0.01,8,10,10
347,0.7666042613889632,0.7493165339355758,0.5,0.01,8,10,50
348,0.7724584707735282,0.7544276714608344,0.5,0.01,8,10,100
349,0.7151347656830406,0.7116367526447165,0.5,0.01,8,100,10
350,0.724673858132002,0.7160347081897064,0.5,0.01,8,100,50
351,0.7321030578586075,0.7251872102698205,0.5,0.01,8,100,100
352,0.8007488633324419,0.7472958516581482,0.5,0.01,10,1,10
353,0.8191732786544234,0.7568049447283965,0.5,0.01,10,1,50
354,0.8292472734837003,0.7597765363128491,0.5,0.01,10,1,100
355,0.7608689192000238,0.7424224414596458,0.5,0.01,10,10,10
356,0.7734688419363466,0.7502674432426008,0.5,0.01,10,10,50
357,0.7791447505274732,0.7554974444312373,0.5,0.01,10,10,100
358,0.7155508008677305,0.7116367526447165,0.5,0.01,10,100,10
359,0.7251196101155983,0.7162724355164626,0.5,0.01,10,100,50
360,0.7324596594454845,0.7255438012599549,0.5,0.01,10,100,100
361,0.7206620902796351,0.7182931177938904,0.5,0.1,3,1,10
362,0.7580161065050073,0.751693807203138,0.5,0.1,3,1,50
363,0.778074945766842,0.7707119933436348,0.5,0.1,3,1,100
364,0.719740869513536,0.7173422084868656,0.5,0.1,3,10,10
365,0.757005735342189,0.7508617615594912,0.5,0.1,3,10,50
366,0.7764702386258953,0.7699988113633662,0.5,0.1,3,10,100
367,0.7111527146295801,0.708784024723642,0.5,0.1,3,100,10
368,0.7444355294047725,0.7406394865089742,0.5,0.1,3,100,50
369,0.763067962319099,0.7604897182931178,0.5,0.1,3,100,100
370,0.7509732251641853,0.7413526684892429,0.5,0.1,5,1,10
371,0.7867522510475171,0.7719006299774159,0.5,0.1,5,1,50
372,0.8028290392558913,0.7761797218590277,0.5,0.1,5,1,100
373,0.7475260764910404,0.7402828955188399,0.5,0.1,5,10,10
374,0.7825324656028053,0.7691667657197195,0.5,0.1,5,10,50
375,0.7931413628123979,0.7761797218590277,0.5,0.1,5,10,100
376,0.7231583013877745,0.7199572090811839,0.5,0.1,5,100,10
377,0.7614335383792458,0.7530013075002971,0.5,0.1,5,100,50
378,0.774479213099165,0.7666706287887792,0.5,0.1,5,100,100
379,0.7888027101720603,0.756091762748128,0.5,0.1,8,1,10
380,0.8407476746604856,0.7747533578984904,0.5,0.1,8,1,50
381,0.8743573742236487,0.7773683584928087,0.5,0.1,8,1,100
382,0.7669014293780274,0.7488410792820634,0.5,0.1,8,10,10
383,0.7999167929630621,0.7734458576013312,0.5,0.1,8,10,50
384,0.8164096163561261,0.7776060858195649,0.5,0.1,8,10,100
385,0.7255653620991946,0.7205515273980744,0.5,0.1,8,100,10
386,0.7642269174764494,0.7540710804707002,0.5,0.1,8,100,50
387,0.7776589105821521,0.7673838107690479,0.5,0.1,8,100,100
388,0.8180737570948857,0.752882443836919,0.5,0.1,10,1,10
389,0.8914445335948412,0.768691311066207,0.5,0.1,10,1,50
390,0.932572583281329,0.7708308570070129,0.5,0.1,10,1,100
391,0.7719830019910255,0.7510994888862474,0.5,0.1,10,10,10
392,0.8082672134557666,0.7724949482943064,0.5,0.1,10,10,50
393,0.830138777450893,0.7780815404730774,0.5,0.1,10,10,100
394,0.7259219636860718,0.7205515273980744,0.5,0.1,10,100,10
395,0.765742474220677,0.7540710804707002,0.5,0.1,10,100,50
396,0.7783423969569998,0.7672649471056698,0.5,0.1,10,100,100
397,0.7752815666696383,0.7671460834422917,0.5,1.0,3,1,10
398,0.8077620278743574,0.7834304053250921,0.5,1.0,3,1,50
399,0.8282666191197884,0.778794722453346,0.5,1.0,3,1,100
400,0.7726367715669668,0.7638179008677047,0.5,1.0,3,10,10
401,0.7990847225936822,0.7811719957209081,0.5,1.0,3,10,50
402,0.8108525749606252,0.7804588137406395,0.5,1.0,3,10,100
403,0.7608392024011174,0.7543088077974563,0.5,1.0,3,100,10
404,0.7744197795013521,0.7691667657197195,0.5,1.0,3,100,50
405,0.7744197795013521,0.7691667657197195,0.5,1.0,3,100,100
406,0.7980446346319574,0.7723760846309283,0.5,1.0,5,1,10
407,0.870791358354878,0.7699988113633662,0.5,1.0,5,1,50
408,0.9267480906956702,0.7642933555212171,0.5,1.0,5,1,100
409,0.7878517726070547,0.7678592654225603,0.5,1.0,5,10,10
410,0.8307628302279279,0.7710685843337691,0.5,1.0,5,10,50
